City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,37.15,70,20,12.1,GS,1706033786
1,ponta delgada,37.7333,-25.6667,65.19,77,75,16.11,PT,1706033864
2,nuku'alofa,-21.1333,-175.2,79.14,94,75,5.75,TO,1706033865
3,belchatow,51.3688,19.3567,39.97,91,98,14.58,PL,1706033865
4,tura,25.5198,90.2201,54.32,68,1,2.3,IN,1706033866
5,st. john's,47.5649,-52.7093,31.89,89,100,8.01,CA,1706033612
6,grunberg,50.594,8.9587,42.8,89,100,14.43,DE,1706033866
7,waitangi,-43.9535,-176.5597,62.82,99,100,5.99,NZ,1706033867
8,hamilton,39.1834,-84.5333,42.76,93,100,9.22,US,1706033619
9,albany,42.6001,-73.9662,37.02,79,100,1.01,US,1706033848
10,adamstown,-25.066,-130.1015,75.85,76,86,9.31,PN,1706033868
11,port mathurin,-19.6833,63.4167,82.54,86,88,25.12,MU,1706033868
12,kapa'a,22.0752,-159.319,75.52,86,75,11.5,US,1706033869
13,punta arenas,-53.15,-70.9167,64.51,42,0,43.73,CL,1706033869
14,vilyuchinsk,52.9306,158.4028,22.93,96,99,3.56,RU,1706033578
15,ancud,-41.8697,-73.8203,64.99,62,5,8.37,CL,1706033870
16,port-aux-francais,-49.35,70.2167,46.51,97,100,24.87,TF,1706033870
17,wailua homesteads,22.0669,-159.378,74.19,89,75,11.5,US,1706033871
18,ketchikan,55.3422,-131.6461,46.38,100,100,6.91,US,1706033871
19,afaahiti,-17.75,-149.2833,78.67,79,99,9.57,PF,1706033872
20,maba,24.6841,113.5984,33.66,71,57,4.05,CN,1706033872
21,jamestown,42.097,-79.2353,36.01,96,100,5.99,US,1706033655
22,mermoz boabab,14.7065,-17.4758,88.36,50,81,13.8,SN,1706033873
23,puerto ayora,-0.7393,-90.3518,89.56,89,93,7.0,EC,1706033873
24,yellowknife,62.456,-114.3525,-10.59,91,75,8.05,CA,1706033874
25,olonkinbyen,70.9221,-8.7187,29.89,77,71,17.6,SJ,1706033874
26,waingapu,-9.6567,120.2641,80.78,78,100,12.68,ID,1706033874
27,petropavlovsk-kamchatsky,53.0452,158.6483,21.45,85,75,8.95,RU,1706033875
28,saarijarvi,62.7049,25.254,35.76,98,100,9.89,FI,1706033875
29,papatowai,-46.5619,169.4708,43.75,91,67,11.34,NZ,1706033876
30,kavaratti,10.5669,72.642,82.96,65,53,9.17,IN,1706033876
31,pointe-noire,-4.7761,11.8635,80.11,75,16,8.43,CG,1706033877
32,udachny,66.4167,112.4,7.45,84,71,23.38,RU,1706033877
33,bethel,41.3712,-73.414,38.17,67,100,1.99,US,1706033691
34,kodiak,57.79,-152.4072,26.11,74,0,23.02,US,1706033878
35,ust-nera,64.5667,143.2,-41.62,99,89,6.64,RU,1706033878
36,qaqortoq,60.7167,-46.0333,14.76,88,100,1.61,GL,1706033879
37,male,4.1748,73.5089,82.35,83,20,11.5,MV,1706033879
38,taroa,8.7058,171.2275,80.78,82,99,21.27,MH,1706033879
39,sitka,57.0531,-135.33,42.69,87,100,5.75,US,1706033880
40,edinburgh of the seven seas,-37.0676,-12.3116,66.52,94,91,15.55,SH,1706033880
41,pacific grove,36.6177,-121.9166,58.55,89,100,14.0,US,1706033881
42,ribeira grande,38.5167,-28.7,64.8,88,75,21.0,PT,1706033881
43,nguruka,-5.1092,31.0419,66.76,88,41,1.66,TZ,1706033881
44,oriximina,-1.7656,-55.8661,78.22,87,89,4.63,BR,1706033882
45,kuraymah,18.55,31.85,73.02,19,1,12.3,SD,1706033882
46,enewetak,11.3474,162.3373,79.77,70,100,19.39,MH,1706033883
